0n 0.0
10n 0.0
40n 0.0
50n 1.0
70n 1.0
90n 1.0
110n 1.0
130n 0.0
150n 0.0
170n 0.0
190n 0.0
210n 1.0
230n 1.0
250n 1.0
270n 1.0
290n 0.0
310n 0.0
330n 0.0
350n 0.0
370n 1.0
390n 1.0
410n 0.0
430n 0.0
450n 1.0
470n 1.0
490n 0.0
510n 0.0
530n 1.0
550n 1.0
570n 0.0
590n 0.0
610n 1.0
630n 1.0
650n 1.0
670n 1.0
690n 0.0
710n 0.0
730n 0.0
750n 0.0
770n 1.0
790n 1.0
810n 1.0
830n 1.0
850n 0.0
870n 0.0
890n 1.0
910n 1.0
930n 0.0
950n 0.0
970n 0.0
990n 0.0
1010n 1.0
1030n 1.0
1050n 1.0
1070n 1.0
1090n 0.0
1110n 0.0
1130n 1.0
1150n 1.0
1170n 0.0
1190n 0.0
1210n 0.0
1230n 0.0
1250n 1.0
1270n 1.0
1290n 1.0
1310n 1.0
1330n 0.0
1350n 0.0
1370n 1.0
1390n 1.0
1410n 0.0
1430n 0.0
1450n 1.0
1470n 1.0
1490n 0.0
1510n 0.0
1530n 0.0
1550n 0.0
1570n 1.0
1590n 1.0
1610n 0.0
1630n 0.0
1650n 1.0
1670n 1.0
1690n 0.0
1710n 0.0
1730n 1.0
1750n 1.0
1770n 1.0
1790n 1.0
1810n 0.0
1830n 0.0
1850n 1.0
1870n 1.0
1890n 0.0
1910n 0.0
1930n 0.0
1950n 0.0
1970n 1.0
1990n 1.0
2010n 0.0
2030n 0.0
2050n 1.0
2070n 1.0
2090n 0.0
2110n 0.0
2130n 1.0
2150n 1.0
2170n 1.0
2190n 1.0
2210n 0.0
2230n 0.0
2250n 1.0
2270n 1.0
2290n 0.0
2310n 0.0
2330n 1.0
2350n 1.0
2370n 0.0
2390n 0.0
2410n 1.0
2430n 1.0
2450n 0.0
2470n 0.0
2490n 1.0
2510n 1.0
2530n 0.0
2550n 0.0
2570n 0.0
2590n 0.0
2610n 1.0
2630n 1.0
2650n 0.0
2670n 0.0
2690n 1.0
2710n 1.0
2730n 0.0
2750n 0.0
2770n 1.0
2790n 1.0
2810n 1.0
2830n 1.0
2850n 0.0
2870n 0.0
2890n 0.0
2910n 0.0
2930n 1.0
2950n 1.0
2970n 1.0
2990n 1.0
3010n 0.0
3030n 0.0
3050n 1.0
3070n 1.0
3090n 0.0
3110n 0.0
3130n 1.0
3150n 1.0
3170n 0.0
3190n 0.0
3210n 0.0
3230n 0.0
3250n 1.0
3270n 1.0
3290n 0.0
3310n 0.0
3330n 1.0
3350n 1.0
3370n 1.0
3390n 1.0
3410n 0.0
3430n 0.0
3450n 0.0
3470n 0.0
3490n 1.0
3510n 1.0
3530n 0.0
3550n 0.0
3570n 1.0
3590n 1.0
3610n 1.0
3630n 1.0
3650n 0.0
3670n 0.0
3690n 1.0
3710n 1.0
3730n 0.0
3750n 0.0
3770n 1.0
3790n 1.0
3810n 0.0
3830n 0.0
3850n 1.0
3870n 1.0
3890n 0.0
3910n 0.0
3930n 0.0
3950n 0.0
3970n 1.0
3990n 1.0
4010n 0.0
4030n 0.0
4050n 1.0
4070n 1.0
